iter	RMSE
0	14.6013497
1	14.26058924
2	13.91943399
3	13.57625877
4	13.27321511
5	12.95228256
6	12.64394754
7	12.35421242
8	12.04946808
9	11.76088333
10	11.52887426
11	11.26995239
12	11.01477747
13	10.80961034
14	10.60768083
15	10.37637558
16	10.18425832
17	9.976674373
18	9.784599629
19	9.59417963
20	9.412046415
21	9.27637256
22	9.100442821
23	8.949350077
24	8.7959696
25	8.656014535
26	8.513398999
27	8.370713595
28	8.234624425
29	8.12857925
30	8.020045799
31	7.901364563
32	7.785162955
33	7.683255612
34	7.570548931
35	7.479366535
36	7.402254017
37	7.307755019
38	7.23216819
39	7.138512426
40	7.058776862
41	6.975006048
42	6.908385011
43	6.840717345
44	6.781804619
45	6.711507941
46	6.649475088
47	6.586822247
48	6.52774026
49	6.479871066
50	6.419950355
51	6.367058639
52	6.317869811
53	6.272811648
54	6.225549601
55	6.181043917
56	6.142922027
57	6.101166373
58	6.071103159
59	6.034850401
60	5.994408264
61	5.961354564
62	5.929519616
63	5.897695278
64	5.882059284
65	5.853838389
66	5.824212743
67	5.799852819
68	5.77534103
69	5.751181961
70	5.725220545
71	5.703011559
72	5.677145145
73	5.654721772
74	5.629929324
75	5.608782202
76	5.594175912
77	5.577521284
78	5.560960659
79	5.549140385
80	5.530872439
81	5.515898281
82	5.500509802
83	5.487217669
84	5.474823338
85	5.455205016
86	5.441266094
87	5.429572865
88	5.419289063
89	5.409528004
90	5.393106966
91	5.382498486
92	5.368394186
93	5.359909704
94	5.349081199
95	5.33953903
96	5.3267904
97	5.318273944
98	5.30775253
99	5.296382638
100	5.285291691
101	5.277136169
102	5.267706439
103	5.260472617
104	5.250619509
105	5.244807031
106	5.233614294
107	5.225510059
108	5.216423299
109	5.209245375
110	5.199867288
111	5.192975953
112	5.180973701
113	5.172913494
114	5.162784078
115	5.156689274
116	5.152761882
117	5.144366473
118	5.139126767
119	5.131084696
120	5.124192965
121	5.115374471
122	5.109095967
123	5.101286853
124	5.09587459
125	5.091458323
126	5.087568072
127	5.08490843
128	5.080709259
129	5.071389836
130	5.068275273
131	5.063009182
132	5.057931325
133	5.054859668
134	5.052277441
135	5.046854272
136	5.04114068
137	5.038244373
138	5.033120268
139	5.029415226
140	5.024692685
141	5.016555413
142	5.011773542
143	5.007037922
144	5.001112299
145	4.998597038
146	4.993156695
147	4.989496086
148	4.984247517
149	4.982285624
150	4.977922305
151	4.971148233
152	4.964453841
153	4.958449772
154	4.954739353
155	4.951287213
156	4.948749563
157	4.945749749
158	4.940848722
159	4.935365108
160	4.929257648
161	4.925863032
162	4.920456967
163	4.915432794
164	4.911637281
165	4.906931055
166	4.904099382
167	4.901245695
168	4.89627113
169	4.893885412
170	4.89132617
171	4.886291444
172	4.884174908
173	4.880745646
174	4.877494781
175	4.874418537
176	4.87170076
177	4.86837865
178	4.86354983
179	4.860441894
180	4.856843708
181	4.853609006
182	4.851811214
183	4.849311467
184	4.848060266
185	4.843328924
186	4.839394079
187	4.83471526
188	4.832340376
189	4.829075027
190	4.825567874
191	4.822087588
192	4.818652399
193	4.812859467
194	4.809819464
195	4.807633919
196	4.805754718
197	4.801471098
198	4.797167845
199	4.79464433
200	4.791732882
201	4.788891541
202	4.785768335
203	4.783359164
204	4.78053575
205	4.778855802
206	4.773845241
207	4.769182259
208	4.764035212
209	4.761068212
210	4.759022067
211	4.754718994
212	4.752385254
213	4.745218331
214	4.743471613
215	4.74124037
216	4.736477269
217	4.730497417
218	4.727528493
219	4.723081553
220	4.719935602
221	4.716707762
222	4.714914933
223	4.713849565
224	4.709723773
225	4.703851674
226	4.69954199
227	4.696010639
228	4.690841309
229	4.687052277
230	4.685283498
231	4.68384272
232	4.681665107
233	4.674613431
234	4.672942456
235	4.671810612
236	4.670636585
237	4.669414092
238	4.667077778
239	4.663400735
240	4.661481591
241	4.656258505
242	4.650633271
243	4.648818445
244	4.643490223
245	4.641418304
246	4.637593519
247	4.633652089
248	4.628567108
249	4.623460916
250	4.619911677
251	4.613670545
252	4.607830805
253	4.602848163
254	4.597018676
255	4.590991219
256	4.584130068
257	4.576825394
258	4.573334925
259	4.571770657
260	4.567079984
261	4.565597533
262	4.564732053
263	4.561312507
264	4.556711618
265	4.555097246
266	4.549992948
267	4.544887247
268	4.542323009
269	4.537227305
270	4.534452606
271	4.532585398
272	4.530956717
273	4.529450567
274	4.526977158
275	4.519947937
276	4.515401515
277	4.514109118
278	4.508059694
279	4.506538077
280	4.505605534
281	4.50176938
282	4.496306756
283	4.495039875
284	4.49307559
285	4.491302875
286	4.489909038
287	4.48901064
288	4.484040288
289	4.479232099
290	4.474409195
291	4.469473472
292	4.464340648
293	4.461871706
294	4.459316099
295	4.455483608
296	4.451700877
297	4.451227946
298	4.447402974
299	4.446816318
300	4.44579456
301	4.441714621
302	4.440688686
303	4.437444775
304	4.435256649
305	4.429337003
306	4.425445065
307	4.422368876
308	4.419452317
309	4.416969731
310	4.414077392
311	4.410323495
312	4.406229506
313	4.40565386
314	4.403192102
315	4.397387479
316	4.395753751
317	4.390121889
318	4.387339837
319	4.383016354
320	4.375538285
321	4.372411532
322	4.368993442
323	4.364256904
324	4.360040713
325	4.356942116
326	4.353007143
327	4.35046629
328	4.346600186
329	4.344254182
330	4.342610556
331	4.34140194
332	4.339173606
333	4.33499267
334	4.330763458
335	4.327985761
336	4.323863877
337	4.323192193
338	4.321546913
339	4.317317147
340	4.315059352
341	4.311919479
342	4.307080496
343	4.303254636
344	4.301550332
345	4.298241545
346	4.295447842
347	4.290266675
348	4.287363681
349	4.284705869
350	4.279465612
351	4.275943296
352	4.273913144
353	4.27226541
354	4.268105722
355	4.26447215
356	4.263017838
357	4.257197778
358	4.252888712
359	4.249625593
360	4.249105563
361	4.247177185
362	4.244442301
363	4.23993178
364	4.236490965
365	4.233000853
366	4.230089395
367	4.227558765
368	4.225853501
369	4.220400289
370	4.217285814
371	4.21533552
372	4.211781198
373	4.207925524
374	4.204039796
375	4.203146628
376	4.200528395
377	4.196300463
378	4.194391085
379	4.192834391
380	4.190598408
381	4.187860383
382	4.185123638
383	4.18066199
384	4.177267381
385	4.173946662
386	4.172053804
387	4.170878748
388	4.168674323
389	4.164760435
390	4.162803512
391	4.160934133
392	4.159023709
393	4.156559093
394	4.153878804
395	4.153292999
396	4.149244501
397	4.145075485
398	4.142686746
399	4.138558393
400	4.134394042
401	4.129980347
402	4.127425839
403	4.123599484
404	4.123051969
405	4.11971893
406	4.118143882
407	4.116466497
408	4.115683115
409	4.11189913
410	4.109264156
411	4.106134808
412	4.105561927
413	4.099818337
414	4.093006924
415	4.088766343
416	4.085137974
417	4.083987852
418	4.08063633
419	4.077241484
420	4.072548165
421	4.069902217
422	4.068835734
423	4.067032117
424	4.066073043
425	4.064309708
426	4.059315844
427	4.058597667
428	4.054582306
429	4.053645206
430	4.052650751
431	4.051705301
432	4.047602947
433	4.046732803
434	4.043796042
435	4.040888623
436	4.038040895
437	4.03692068
438	4.033609972
439	4.03294932
440	4.028375365
441	4.023478953
442	4.019855303
443	4.019337589
444	4.016706176
445	4.015072265
446	4.01209706
447	4.011045045
448	4.009076958
449	4.006211152
450	4.002970708
451	3.999813949
452	3.998572399
453	3.995453657
454	3.990399829
455	3.987984702
456	3.987390773
457	3.986932529
458	3.982503908
459	3.979777536
460	3.975735643
461	3.975291689
462	3.973739509
463	3.969744229
464	3.968005397
465	3.965719883
466	3.963844539
467	3.961644781
468	3.960875477
469	3.95788452
470	3.955381927
471	3.950918146
472	3.947989818
473	3.945806591
474	3.942975044
475	3.942020745
476	3.940276354
477	3.937558187
478	3.935615169
479	3.931986657
480	3.928882579
481	3.926745866
482	3.923941483
483	3.922479053
484	3.919457268
485	3.916322545
486	3.913495192
487	3.910363844
488	3.908213509
489	3.906560581
490	3.905015517
491	3.901556937
492	3.899875134
493	3.897052255
494	3.895725982
495	3.894050636
496	3.892462704
497	3.891673982
498	3.888566124
499	3.885346577
500	3.881790758
501	3.879395862
502	3.875191015
503	3.874116706
504	3.872996338
505	3.870434956
506	3.869461711
507	3.867507031
508	3.864566277
509	3.861569555
510	3.857611786
511	3.855489773
512	3.853384132
513	3.849097565
514	3.847517607
515	3.843840703
516	3.840354199
517	3.838319038
518	3.835399534
519	3.833726893
520	3.830372948
521	3.827164642
522	3.826347526
523	3.824404595
524	3.822440236
525	3.818554359
526	3.817091095
527	3.815826971
528	3.81313109
529	3.810003551
530	3.807100268
531	3.804562449
532	3.804352908
533	3.802524897
534	3.801934408
535	3.800554861
536	3.799632109
537	3.79860244
538	3.797167788
539	3.795053558
540	3.79281747
541	3.789541281
542	3.788717178
543	3.784936746
544	3.783407485
545	3.780489431
546	3.779743135
547	3.777955831
548	3.776686119
549	3.773740275
550	3.772300484
551	3.770855462
552	3.768985334
553	3.7674974
554	3.766332702
555	3.763764552
556	3.762307665
557	3.760845943
558	3.757124911
559	3.755913646
560	3.752318984
561	3.750912385
562	3.747366356
563	3.746442551
564	3.745264179
565	3.742871487
566	3.739565961
567	3.738759415
568	3.735233981
569	3.734907376
570	3.733224726
571	3.731585901
572	3.730060315
573	3.729668762
574	3.72655467
575	3.725577747
576	3.724937162
577	3.72369438
578	3.722406106
579	3.718471858
580	3.718238046
581	3.715769936
582	3.71223869
583	3.711725136
584	3.710197689
585	3.708623062
586	3.707453395
587	3.705936274
588	3.705226054
589	3.701852463
590	3.70133638
591	3.699751793
592	3.698268225
593	3.696224281
594	3.693798411
595	3.691495998
596	3.690284385
597	3.687085827
598	3.684854001
599	3.683255766
600	3.682408
601	3.679943388
602	3.679203417
603	3.674478036
604	3.672883778
605	3.670873288
606	3.668761658
607	3.665166708
608	3.665018917
609	3.664387093
610	3.663413999
611	3.662822951
612	3.6613066
613	3.660727147
614	3.660315202
615	3.658197491
616	3.657183194
617	3.654764486
618	3.652833253
619	3.650854574
620	3.648357391
621	3.645739001
622	3.645488443
623	3.644388006
624	3.643756151
625	3.640623774
626	3.637132049
627	3.63460394
628	3.632934728
629	3.630223055
630	3.628940395
631	3.626461237
632	3.625854738
633	3.624035562
634	3.622308881
635	3.619373983
636	3.617110807
637	3.61491659
638	3.614104551
639	3.613696005
640	3.611260704
641	3.609937052
642	3.608001554
643	3.607176949
644	3.606717496
645	3.60452767
646	3.602098877
647	3.601773279
648	3.600846814
649	3.599796599
650	3.597240022
651	3.596728761
652	3.594093745
653	3.593024592
654	3.592753622
655	3.590693413
656	3.590295589
657	3.589959728
658	3.589296113
659	3.58705031
660	3.583526753
661	3.582138834
662	3.580907178
663	3.578646876
664	3.577066265
665	3.573884164
666	3.572396411
667	3.570937599
668	3.570056203
669	3.568405241
670	3.568220049
671	3.564388227
672	3.56148719
673	3.559438576
674	3.558064351
675	3.557294041
676	3.55469307
677	3.552509792
678	3.549330215
679	3.547458508
680	3.546652839
681	3.545265985
682	3.542782864
683	3.541202208
684	3.539843124
685	3.537303101
686	3.5345279
687	3.532666403
688	3.532500441
689	3.530183309
690	3.52811163
691	3.527457959
692	3.525140314
693	3.523591171
694	3.522677177
695	3.519064441
696	3.515983266
697	3.51390796
698	3.51134017
699	3.509072772
700	3.506434901
701	3.504658054
702	3.502183849
703	3.501361707
704	3.497944649
705	3.497254193
706	3.495200242
707	3.492794101
708	3.491670604
709	3.488743378
710	3.485498188
711	3.483127843
712	3.48139902
713	3.479844837
714	3.479374059
715	3.478301807
716	3.476784926
717	3.476387851
718	3.47520354
719	3.473126022
720	3.472756284
721	3.471725981
722	3.470384949
723	3.467437446
724	3.466870236
725	3.464311553
726	3.463015394
727	3.461507507
728	3.45982226
729	3.45807104
730	3.454819042
731	3.45228247
732	3.449933912
733	3.449349876
734	3.447832862
735	3.443830057
736	3.442115868
737	3.439743082
738	3.439488623
739	3.438540251
740	3.436595315
741	3.436521347
